name,slug,address,city,postcode,latitude,longitude,facility_type,bays,covered_bays,floodlights,short_game_area,simulator_brand,price_100_balls,website,phone,opening_hours,image,is_published
Halesworth Golf Driving Range,halesworth-golf-driving-range-unknown,Halesworth Golf Driving Range,Unknown,UNKNOWN,52.328169,1.516834,outdoor,,false,false,false,,,,,,,true
Castle Golf Driving Range,castle-golf-driving-range-johnstone,1 Rannoch Road,Johnstone,PA5 0SP,55.82446,-4.513361,outdoor,,false,false,false,,,http://www.castlegolfrange.co.uk/,+44 1505 383599,,,true
Driving Range,driving-range-unknown-1,Driving Range,Unknown,UNKNOWN,53.240646,-2.824097,outdoor,,false,false,false,,,,,,,true
Leigh Golf Range,leigh-golf-range-unknown,Leigh Golf Range,Unknown,UNKNOWN,51.539476,0.627675,outdoor,,false,false,false,,,,,,,true
Worcester Golf Range,worcester-golf-range-unknown,Worcester Golf Range,Unknown,UNKNOWN,52.174425,-2.227566,outdoor,,false,false,false,,,,,,,true
Whitefields Golf Club Driving Range,whitefields-golf-club-driving-range-unknown,Whitefields Golf Club Driving Range,Unknown,UNKNOWN,52.341207,-1.327413,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-2,Driving Range,Unknown,UNKNOWN,51.290035,-2.526365,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-3,Driving Range,Unknown,UNKNOWN,53.535821,-2.244605,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-4,Driving Range,Unknown,UNKNOWN,53.874222,-1.495242,outdoor,,false,false,false,,,,,,,true
Barrow Hill Driving Range,barrow-hill-driving-range-unknown,Barrow Hill Driving Range,Unknown,UNKNOWN,53.27474,-1.386026,outdoor,,false,false,false,,,,,,,true
Bowlee Park Golf Range,bowlee-park-golf-range-middleton,Heywood Old Road,Middleton,M24 4TH,53.554905,-2.232625,outdoor,,false,false,false,,,http://www.bowlee-park-range.co.uk/,+44 161 654 9666,,,true
American Golf Driving Range,american-golf-driving-range-unknown,American Golf Driving Range,Unknown,UNKNOWN,52.371399,-1.889047,outdoor,,false,false,false,,,http://www.direct-golf.co.uk/stores/solihull/,+44 1217263203,Mo-Fr 09:00-20:00; Sa 09:00-18:00; Su 09:00-17:00,,true
Greystones Driving Range,greystones-driving-range-unknown,Greystones Driving Range,Unknown,UNKNOWN,53.135439,-6.054501,outdoor,,false,false,false,,,,,,,true
World of Golf Driving Range,world-of-golf-driving-range-unknown,World of Golf Driving Range,Unknown,UNKNOWN,55.913253,-4.390023,outdoor,,false,false,false,,,https://www.worldofgolf.co.uk/,,,,true
Driving Range / Academy,driving-range-academy-unknown,Driving Range / Academy,Unknown,UNKNOWN,52.976174,-1.407308,outdoor,,false,false,false,,,,,,,true
Hillside Farm Golf Driving Range,hillside-farm-golf-driving-range-unknown,Banbury Road,Unknown,OX15 4PF,52.02507,-1.375293,outdoor,,false,false,false,,,https://plus.google.com/111699044917096528470/about?gl=at&hl=de,+44 1295 720361,,,true
Lough Erne Driving Range,lough-erne-driving-range-unknown,Lough Erne Driving Range,Unknown,UNKNOWN,54.393824,-7.698217,outdoor,,false,false,false,,,,,,,true
Castle Hume Driving Range,castle-hume-driving-range-unknown,Castle Hume Driving Range,Unknown,UNKNOWN,54.392817,-7.699568,outdoor,,false,false,false,,,,,,,true
Bishopbriggs Golf Range,bishopbriggs-golf-range-unknown,Bishopbriggs Golf Range,Unknown,UNKNOWN,55.926987,-4.194419,outdoor,,false,false,false,,,https://bishopbriggsgolfrange.co.uk/,,,,true
Brentwood Golf Range (UK Golf Academy),brentwood-golf-range-uk-golf-academy-brentwood,Warley Gap,Brentwood,CM13 3DP,51.597223,0.295326,outdoor,,false,false,false,,,https://www.ukgolfacademy.com/brentwood,+44 1277 205 809,,,true
Murrayshall Driving Range,murrayshall-driving-range-unknown,Murrayshall Driving Range,Unknown,UNKNOWN,56.416573,-3.372658,outdoor,,false,false,false,,,,,,,true
The WaterWorks Golf Centre (Driving Range),the-waterworks-golf-centre-driving-range-unknown,The WaterWorks Golf Centre (Driving Range),Unknown,UNKNOWN,51.5649,-0.035497,outdoor,,false,false,false,,,,,,,true
The Range Woodfarm,the-range-woodfarm-unknown,The Range Woodfarm,Unknown,UNKNOWN,52.63215,-2.030563,outdoor,,false,false,false,,,,,,,true
Biggleswade Golf Range / American Golf Discount Centre,biggleswade-golf-range-american-golf-discount-centre-biggleswade,Hill Lane,Biggleswade,SG18 9AY,52.090575,-0.277793,outdoor,,false,false,false,,,http://storeblog.americangolf.co.uk/biggleswade/,+44 1767 318040;+44 8444 99 2169,,,true
Top Golf Chigwell,top-golf-chigwell-chigwell,Abridge Road,Chigwell,IG7 6BX,51.641761,0.096767,outdoor,,false,false,false,,,https://topgolf.com/uk/chigwell/,+44 20 8500 2644,,,true
Brickhampton Court Driving Range,brickhampton-court-driving-range-unknown,Brickhampton Court Driving Range,Unknown,UNKNOWN,51.897649,-2.189472,outdoor,,false,false,false,,,,,,,true
Beggars Wood Golf and Driving Range,beggars-wood-golf-and-driving-range-unknown,Beggars Wood Golf and Driving Range,Unknown,UNKNOWN,54.933014,-1.634947,outdoor,,false,false,false,,,,+44 191 460 3633,,,true
Tillicoultry Garden Centre and Golf Driving Range,tillicoultry-garden-centre-and-golf-driving-range-unknown,Tillicoultry Garden Centre and Golf Driving Range,Unknown,UNKNOWN,56.153879,-3.727156,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-5,Driving Range,Unknown,UNKNOWN,51.358813,-0.491865,outdoor,,false,false,false,,,,,,,true
Practice Range,practice-range-unknown,Practice Range,Unknown,UNKNOWN,54.261112,-0.399563,outdoor,,false,false,false,,,,,,,true
The Gallops Golf Course,the-gallops-golf-course-unknown,The Gallops Golf Course,Unknown,UNKNOWN,52.599021,-1.101104,outdoor,,false,false,false,,,,,Mo-Su 08:00-20:00 Summer; Open 7:00 sa-su; Close 21:00 weekday; reduced winter,,true
Lytham Golf Academy,lytham-golf-academy-preston,Lytham Road Warton,Preston,PR4 1TE,53.746434,-2.920476,outdoor,,false,false,false,,,https://www.lythamgolfacademy.co.uk/,+44 1772 631520,,,true
Ely On Par Driving Range,ely-on-par-driving-range-unknown,Ely On Par Driving Range,Unknown,UNKNOWN,52.411423,0.248511,outdoor,,false,false,false,,,,,,,true
Laganview Golf Centre,laganview-golf-centre-unknown,Laganview Golf Centre,Unknown,UNKNOWN,54.533141,-6.013003,outdoor,,false,false,false,,,,,,,true
Misterton Driving Range,misterton-driving-range-unknown,Misterton Driving Range,Unknown,UNKNOWN,53.45983,-0.848927,outdoor,,false,false,false,,,http://www.mistertongolf.co.uk/,+44 1427 891 511,,,true
Aintree Golf Driving Range,aintree-golf-driving-range-unknown,Aintree Golf Driving Range,Unknown,UNKNOWN,53.47686,-2.939923,outdoor,,false,false,false,,,https://www.aintreegolf.co.uk/range_information,,,,true
Windmill Golf Academy,windmill-golf-academy-unknown,Windmill Golf Academy,Unknown,UNKNOWN,51.50431,-2.463677,outdoor,,false,false,false,,,http://www.windmillgolfacademy.co.uk/,,,,true
Carus Green Driving Range,carus-green-driving-range-unknown,Carus Green Driving Range,Unknown,UNKNOWN,54.346086,-2.747148,outdoor,,false,false,false,,,https://www.carusgreen.co.uk/golf-centre/driving-range.aspx,,,,true
Kingsfield Driving Range,kingsfield-driving-range-unknown,Kingsfield Driving Range,Unknown,UNKNOWN,55.98258,-3.557118,outdoor,,false,false,false,,,,,,,true
Wessex Golf Centre,wessex-golf-centre-unknown,Wessex Golf Centre,Unknown,UNKNOWN,50.620498,-2.488294,outdoor,,false,false,false,,,,,,,true
Lilliesleaf Golf Driving Range,lilliesleaf-golf-driving-range-unknown,Lilliesleaf Golf Driving Range,Unknown,UNKNOWN,55.494518,-2.78211,outdoor,,false,false,false,,,,,,,true
Golf Driving Range,golf-driving-range-unknown,Golf Driving Range,Unknown,UNKNOWN,55.496126,-2.829743,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-6,Driving Range,Unknown,UNKNOWN,52.124571,-2.004399,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-7,Driving Range,Unknown,UNKNOWN,55.51448,-4.626231,outdoor,,false,false,false,,,,,,,true
Kings Links Golf Centre,kings-links-golf-centre-unknown,Kings Links Golf Centre,Unknown,UNKNOWN,57.15948,-2.083346,outdoor,,false,false,false,,,,,,,true
Forfar Golf Driving Range,forfar-golf-driving-range-forfar,Forfar Golf Driving Range,Forfar,DD8 3RN,56.655909,-2.890209,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-8,Driving Range,Unknown,UNKNOWN,51.287348,-1.122706,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-9,Driving Range,Unknown,UNKNOWN,54.701945,-5.955967,outdoor,,false,false,false,,,,,,,true
Practice Range,practice-range-unknown-1,Practice Range,Unknown,UNKNOWN,53.374584,-2.309851,outdoor,,false,false,false,,,,,,,true
Kendal Golf Driving Range,kendal-golf-driving-range-kendal,Oxenholme Road,Kendal,LA9 7HG,54.307058,-2.722304,outdoor,,false,false,false,,,,,,,true
Kilwinning Sports Club driving range,kilwinning-sports-club-driving-range-unknown,Kilwinning Sports Club driving range,Unknown,UNKNOWN,55.64702,-4.708263,outdoor,,false,false,false,,,https://www.kilwinningsportsclub.co.uk/,,,,true
Cluny Driving Range,cluny-driving-range-unknown,Cluny Driving Range,Unknown,UNKNOWN,56.156612,-3.216108,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-10,Driving Range,Unknown,UNKNOWN,52.588842,-8.553685,outdoor,,false,false,false,,,,,,,true
Rosslare Golf Course Driving Range,rosslare-golf-course-driving-range-unknown,Rosslare Golf Course Driving Range,Unknown,UNKNOWN,52.286852,-6.394417,outdoor,,false,false,false,,,https://rosslaregolf.com/practice-facilities/,,,,true
Radnor Driving Range,radnor-driving-range-unknown,Radnor Driving Range,Unknown,UNKNOWN,50.252882,-5.212643,outdoor,,false,false,false,,,,,,,true
The Garden,the-garden-unknown,The Garden,Unknown,UNKNOWN,53.358226,-6.172193,outdoor,,false,false,false,,,,,,,true
North Wales Driving Range,north-wales-driving-range-st-asaph,North Wales Driving Range,St Asaph,LL17 0BD,53.234141,-3.426875,outdoor,,false,false,false,,,,,,,true
Myrus Golf Centre and Driving Range,myrus-golf-centre-and-driving-range-unknown,Myrus Golf Centre and Driving Range,Unknown,UNKNOWN,57.657509,-2.483555,outdoor,,false,false,false,,,http://www.myrusgolf.co.uk/,,,,true
Carnfunnock Golf Driving Range,carnfunnock-golf-driving-range-unknown,Carnfunnock Golf Driving Range,Unknown,UNKNOWN,54.887291,-5.846134,outdoor,,false,false,false,,,,,,,true
Carnfunnock Driving Range,carnfunnock-driving-range-unknown,Carnfunnock Driving Range,Unknown,UNKNOWN,54.887482,-5.847903,outdoor,,false,false,false,,,,,,,true
Killiane Castle Driving Range,killiane-castle-driving-range-unknown,Killiane Castle Driving Range,Unknown,UNKNOWN,52.294152,-6.450472,outdoor,,false,false,false,,,,,,,true
Whittlebury Park - Atrium,whittlebury-park-atrium-unknown,Whittlebury Park - Atrium,Unknown,UNKNOWN,52.077843,-0.998791,outdoor,,false,false,false,,,,,,,true
Cork Golf Centre,cork-golf-centre-unknown,Cork Golf Centre,Unknown,UNKNOWN,51.893223,-8.624581,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-11,Driving Range,Unknown,UNKNOWN,51.255534,-0.495957,outdoor,,false,false,false,,,,,,,true
Osiers Driving Range,osiers-driving-range-unknown,Osiers Driving Range,Unknown,UNKNOWN,52.363685,1.146793,outdoor,,false,false,false,,,,,,,true
Banbridge Driving Range,banbridge-driving-range-unknown,Banbridge Driving Range,Unknown,UNKNOWN,54.360602,-6.296707,outdoor,,false,false,false,,,,,,,true
The Studio,the-studio-unknown,The Studio,Unknown,UNKNOWN,54.818608,-1.531336,outdoor,,false,false,false,,,,,,,true
Driving range,driving-range-unknown-12,Driving range,Unknown,UNKNOWN,51.60063,-2.53965,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-13,Driving Range,Unknown,UNKNOWN,51.607872,-2.961819,outdoor,,false,false,false,,,,,,,true
Prairie Golf Range.,prairie-golf-range-unknown,Prairie Golf Range.,Unknown,UNKNOWN,53.811652,-2.238429,outdoor,,false,false,false,,,,,,,true
Innishannon Driving Range,innishannon-driving-range-unknown,Innishannon Driving Range,Unknown,UNKNOWN,51.780052,-8.656724,outdoor,,false,false,false,,,,,,,true
BigShots Golf - Northwick Park,bigshots-golf-northwick-park-unknown,BigShots Golf - Northwick Park,Unknown,UNKNOWN,51.572918,-0.322026,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-14,Driving Range,Unknown,UNKNOWN,51.453806,-2.841478,outdoor,,false,false,false,,,,,,,true
Secford Golf Club,secford-golf-club-unknown,Secford Golf Club,Unknown,UNKNOWN,52.089671,1.285561,outdoor,,false,false,false,,,,,,,true
The Old Nene Golf & Country Club (Driving Range),the-old-nene-golf-country-club-driving-range-unknown,The Old Nene Golf & Country Club (Driving Range),Unknown,UNKNOWN,52.465901,-0.101164,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-15,Driving Range,Unknown,UNKNOWN,51.140969,-0.954968,outdoor,,false,false,false,,,,,,,true
Scalm Park Leisure,scalm-park-leisure-unknown,Scalm Park Leisure,Unknown,UNKNOWN,53.789094,-1.143182,outdoor,,false,false,false,,,,,,,true
Practice Range,practice-range-unknown-2,Practice Range,Unknown,UNKNOWN,53.093062,-2.381748,outdoor,,false,false,false,,,,,,,true
Practice Range,practice-range-unknown-3,Practice Range,Unknown,UNKNOWN,53.054623,-2.388239,outdoor,,false,false,false,,,,,,,true
Driving range,driving-range-unknown-16,Driving range,Unknown,UNKNOWN,51.514636,-0.446146,outdoor,,false,false,false,,,,,,,true
Chipping Area,chipping-area-unknown,Chipping Area,Unknown,UNKNOWN,53.095549,-2.473239,outdoor,,false,false,false,,,,,,,true
Sleight Valley Golf Driving Range,sleight-valley-golf-driving-range-devizes,Sleight Lane,Devizes,SN10 3HY,51.3386,-1.974628,outdoor,,false,false,false,,,https://www.golfdrivingrangewiltshire.co.uk/,+44 1380 729053,,,true
Golf Dedication Centre Driving Range,golf-dedication-centre-driving-range-unknown,Golf Dedication Centre Driving Range,Unknown,UNKNOWN,57.722389,-3.340873,outdoor,,false,false,false,,,,,,,true
Norwich Family Golf Centre,norwich-family-golf-centre-norwich,Dunham Road,Norwich,NR9 5GA,52.646891,1.165795,outdoor,,false,false,false,,,,,,,true
Tower Wood Golf Centre,tower-wood-golf-centre-unknown,Tower Wood Golf Centre,Unknown,UNKNOWN,55.040499,-3.668368,outdoor,,false,false,false,,,,,,,true
Practice Ground,practice-ground-unknown,Practice Ground,Unknown,UNKNOWN,52.664249,-7.802103,outdoor,,false,false,false,,,,,,,true
Gosling Park Driving Range,gosling-park-driving-range-unknown,Gosling Park Driving Range,Unknown,UNKNOWN,51.78923,-0.215027,outdoor,,false,false,false,,,,,,,true
Meridian golf driving range,meridian-golf-driving-range-unknown,Meridian golf driving range,Unknown,UNKNOWN,52.184212,-0.003421,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-17,Driving Range,Unknown,UNKNOWN,53.572134,-2.059045,outdoor,,false,false,false,,,,,,,true
Driving range,driving-range-unknown-18,Driving range,Unknown,UNKNOWN,51.015196,-0.056926,outdoor,,false,false,false,,,,,,,true
Sycamores Golf Driving Range,sycamores-golf-driving-range-unknown,Sycamores Golf Driving Range,Unknown,UNKNOWN,53.486904,-2.604391,outdoor,,false,false,false,,,https://www.sycamoresgolfcentre.co.uk/,,,,true
Longridge Golf Academy & Driving Range,longridge-golf-academy-driving-range-unknown,Longridge Golf Academy & Driving Range,Unknown,UNKNOWN,53.845565,-2.574211,outdoor,,false,false,false,,,,,,,true
Practice area,practice-area-unknown-1,Practice area,Unknown,UNKNOWN,57.190002,-7.41463,outdoor,,false,false,false,,,,,,,true
Cherwell Edge,cherwell-edge-unknown,Cherwell Edge,Unknown,UNKNOWN,52.083095,-1.273443,outdoor,,false,false,false,,,,,,,true
Practice nets,practice-nets-unknown,Practice nets,Unknown,UNKNOWN,60.166849,-1.226832,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-19,Driving Range,Unknown,UNKNOWN,51.112863,-3.07161,outdoor,,false,false,false,,,,,,,true
Driving Range (open bays),driving-range-open-bays-unknown,Driving Range (open bays),Unknown,UNKNOWN,52.466817,-0.102604,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-20,Driving Range,Unknown,UNKNOWN,51.847707,-2.076503,outdoor,,false,false,false,,,,,,,true
Sherdley Park Driving Range,sherdley-park-driving-range-unknown,Sherdley Park Driving Range,Unknown,UNKNOWN,53.435968,-2.725041,outdoor,,false,false,false,,,,,,,true
Tinhalla Driving Range,tinhalla-driving-range-unknown,Tinhalla Driving Range,Unknown,UNKNOWN,52.337975,-7.375205,outdoor,,false,false,false,,,,,,,true
David Lloyd,david-lloyd-unknown,David Lloyd,Unknown,UNKNOWN,51.435476,-0.373404,outdoor,,false,false,false,,,,,,,true
Stevenage Aston Par 3 - Driviing Range,stevenage-aston-par-3-driviing-range-unknown,Stevenage Aston Par 3 - Driviing Range,Unknown,UNKNOWN,51.884063,-0.155441,outdoor,,false,false,false,,,,,,,true
Dynamic Driving Range,dynamic-driving-range-unknown,Dynamic Driving Range,Unknown,UNKNOWN,51.836447,-0.76929,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-21,Driving Range,Unknown,UNKNOWN,56.154586,-3.753476,outdoor,,false,false,false,,,,,,,true
Monxton & Grateley Golf Centre,monxton-grateley-golf-centre-unknown,Monxton & Grateley Golf Centre,Unknown,UNKNOWN,51.179145,-1.595881,outdoor,,false,false,false,,,,,,,true
Practice Area,practice-area-unknown-2,Practice Area,Unknown,UNKNOWN,51.502447,-3.707803,outdoor,,false,false,false,,,,,,,true
Melville Golf Centre,melville-golf-centre-unknown,Melville Golf Centre,Unknown,UNKNOWN,55.886869,-3.095925,outdoor,,false,false,false,,,,,,,true
Chipping Green,chipping-green-unknown,Chipping Green,Unknown,UNKNOWN,52.61439,-0.583189,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-22,Driving Range,Unknown,UNKNOWN,55.838078,-4.310408,outdoor,,false,false,false,,,,,,,true
Hounslow Golf Park,hounslow-golf-park-unknown,Hounslow Golf Park,Unknown,UNKNOWN,51.459535,-0.393542,outdoor,,false,false,false,,,https://hounslowgolfpark.com/,,,,true
Driving Range,driving-range-unknown-23,Driving Range,Unknown,UNKNOWN,53.234369,-2.579428,outdoor,,false,false,false,,,,,,,true
The Point Golf Academy,the-point-golf-academy-unknown,The Point Golf Academy,Unknown,UNKNOWN,50.56368,-4.904135,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-24,Driving Range,Unknown,UNKNOWN,54.5634,-5.915872,outdoor,,false,false,false,,,,,,,true
Driving range,driving-range-unknown-25,Driving range,Unknown,UNKNOWN,52.090468,0.039747,outdoor,,false,false,false,,,,,,,true
Practice Area,practice-area-unknown-3,Practice Area,Unknown,UNKNOWN,56.023703,-2.837708,outdoor,,false,false,false,,,,,,,true
Crane Valley Driving Range,crane-valley-driving-range-unknown,Crane Valley Driving Range,Unknown,UNKNOWN,50.882849,-1.903851,outdoor,,false,false,false,,,,,,,true
Parley Golf Centre Driving Range,parley-golf-centre-driving-range-unknown,Parley Golf Centre Driving Range,Unknown,UNKNOWN,50.774549,-1.850983,outdoor,,false,false,false,,,,,,,true
Parley Golf Centre Short Game Practice Area,parley-golf-centre-short-game-practice-area-unknown,Parley Golf Centre Short Game Practice Area,Unknown,UNKNOWN,50.774784,-1.854317,outdoor,,false,false,false,,,,,,,true
Golfcatcher Driving Range,golfcatcher-driving-range-unknown,Golfcatcher Driving Range,Unknown,UNKNOWN,50.752474,-1.815147,outdoor,,false,false,false,,,https://golfcatcher.net,+44 1202 403201,,,true
Ravenmeadow Driving Range,ravenmeadow-driving-range-unknown,Ravenmeadow Driving Range,Unknown,UNKNOWN,52.221744,-2.211229,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-26,Driving Range,Unknown,UNKNOWN,54.537603,-1.227435,outdoor,,false,false,false,,,,,,,true
Drynam Park Golf Centre,drynam-park-golf-centre-kinsealy,Kettle's Lane,Kinsealy,UNKNOWN,53.440371,-6.194904,outdoor,,false,false,false,,,http://www.drynamparkgolfcentre.ie/,,,,true
Driving range,driving-range-unknown-27,Driving range,Unknown,UNKNOWN,56.067513,-3.535472,outdoor,,false,false,false,,,,,,,true
North Weald Golf Range,north-weald-golf-range-unknown,North Weald Golf Range,Unknown,UNKNOWN,51.728977,0.161147,outdoor,,false,false,false,,,http://www.northwealdgolfrange.co.uk/,,,,true
Practice Area,practice-area-unknown-4,Practice Area,Unknown,UNKNOWN,50.323827,-4.809946,outdoor,,false,false,false,,,,,,,true
St. Helen's Bay Golf Academy,st-helen-s-bay-golf-academy-unknown,St. Helen's Bay Golf Academy,Unknown,UNKNOWN,52.234081,-6.33825,outdoor,,false,false,false,,,,,,,true
Scarke Driving Range,scarke-driving-range-unknown,Scarke Driving Range,Unknown,UNKNOWN,52.41337,-6.88745,outdoor,,false,false,false,,,,,,,true
Royal Liverpool Driving Range,royal-liverpool-driving-range-unknown,Royal Liverpool Driving Range,Unknown,UNKNOWN,53.387037,-3.188908,outdoor,,false,false,false,,,,,,,true
The Range,the-range-unknown,The Range,Unknown,UNKNOWN,53.332929,-2.139584,outdoor,,false,false,false,,,,,,,true
Short game area hitting mats,short-game-area-hitting-mats-unknown,Short game area hitting mats,Unknown,UNKNOWN,60.168278,-1.21873,outdoor,,false,false,false,,,,,,,true
Wensum Valley Golf Club,wensum-valley-golf-club-unknown,Wensum Valley Golf Club,Unknown,UNKNOWN,52.688443,1.185254,outdoor,,false,false,false,,,,,,,true
Thetford practice area,thetford-practice-area-unknown,Thetford practice area,Unknown,UNKNOWN,52.416953,0.710271,outdoor,,false,false,false,,,,,,,true
Bushey Driving Range,bushey-driving-range-unknown,Bushey Driving Range,Unknown,UNKNOWN,51.642254,-0.362488,outdoor,,false,false,false,,,,,,,true
Newbury Racecourse Driving Range,newbury-racecourse-driving-range-unknown,Newbury Racecourse Driving Range,Unknown,UNKNOWN,51.395231,-1.30227,outdoor,,false,false,false,,,https://www.timbutlergolf.co.uk/,,,,true
Bird Hills Driving Range,bird-hills-driving-range-unknown,Bird Hills Driving Range,Unknown,UNKNOWN,51.465598,-0.745718,outdoor,,false,false,false,,,https://www.birdhills.co.uk/driving_range.html,,Mo 10:00-21:30; Tu-Su 08:00-21:30,,true
Practice Nets,practice-nets-unknown-1,Practice Nets,Unknown,UNKNOWN,50.73881,-1.641489,outdoor,,false,false,false,,,,,,,true
Practice Ground,practice-ground-unknown-1,Practice Ground,Unknown,UNKNOWN,50.736328,-1.636457,outdoor,,false,false,false,,,,,,,true
Just Play Golf,just-play-golf-unknown,Just Play Golf,Unknown,UNKNOWN,51.634399,-3.438718,outdoor,,false,false,false,,,,,,,true
Grimsby Golf Centre Driving Range,grimsby-golf-centre-driving-range-unknown,Grimsby Golf Centre Driving Range,Unknown,UNKNOWN,53.568236,-0.117799,outdoor,,false,false,false,,,,,,,true
Kingsdown Golf Club Driving Range,kingsdown-golf-club-driving-range-unknown,Kingsdown Golf Club Driving Range,Unknown,UNKNOWN,51.399731,-2.262959,outdoor,,false,false,false,,,,,,,true
Downpatrick Golf Centre,downpatrick-golf-centre-unknown,Downpatrick Golf Centre,Unknown,UNKNOWN,54.307294,-5.673582,outdoor,,false,false,false,,,https://www.downpatrickgolfcentre.com/,,,,true
Driving range,driving-range-unknown-28,Driving range,Unknown,UNKNOWN,53.078467,-0.726277,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-29,Driving Range,Unknown,UNKNOWN,51.735587,-1.279219,outdoor,,false,false,false,,,,,,,true
Fermoy Driving Range,fermoy-driving-range-unknown,Fermoy Driving Range,Unknown,UNKNOWN,52.12362,-8.299357,outdoor,,false,false,false,,,,,,,true
Halesworth Golf Driving Range,halesworth-golf-driving-range-unknown-1,Halesworth Golf Driving Range,Unknown,UNKNOWN,52.32792,1.515327,outdoor,,false,false,false,,,,,,,true
Driving Range,driving-range-unknown-30,Driving Range,Unknown,UNKNOWN,53.960543,-8.174396,outdoor,,false,false,false,,,,,,,true
